sku,product_name,regular_price,stock_quantity,stock_status,product_type,product_status,product_categories,tags,weight,length_mm,width_mm,height_mm,_acf_power_watts,_acf_cc_cv_type,_acf_dimming_type,_acf_output_current_ma,_acf_ip_protection,_acf_series_type,_acf_manufacturer_brand,_acf_manufacturer_part_number,_acf_dimensions_length_mm,_acf_dimensions_width_mm,_acf_dimensions_height_mm,_acf_dimension_category,_acf_input_voltage
1224150200,LED Converter SRPN 150W 48V DALI2 DT6 | TOUCHDIM,86.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V SIMPEX,,365.6,43,30,150,cv,dali|touchdim,,,other,Simpex,SRPN-2305-150-48V,365.6,43,30,large,220_240v_ac
1224200200,LED Converter LC 200W 48V one4all NF SC EXC,136.0,73,instock,simple,publish,LED Treiber,CONVERTER V,,325,43,30,200,cv,one4all,,,lc,Tridonic,28003536 Open | 28003843 SP,325,43,30,large,220_240v_ac
1224200600,LED Converter PWM-200-48DA DALI2 | TOUCHDIM IP67,85.0,1,instock,simple,publish,LED Treiber,CONVERTER V,,195,68,39.5,,,dali|touchdim,,IP67,other,Simpex,PWM-200-48DA2,195,68,39.5,medium,220_240v_ac
1224240600,LED Converter ELG-240-48DA DALI dimmbar IP67,101.0,4,instock,simple,publish,LED Treiber,CONVERTER V,,244,71,37.5,,,dali,,IP67,other,Simpex,ELG-240-48DA-3Y,244,71,37.5,medium,220_240v_ac
1231050200,LED Converter 50W 12V Phasenabschnitt dimmbar,55.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V,,177,57,23,50,cv,,,,other,K00043,113928,177,57,23,medium,220_240v_ac
1232019200,"LED Converter 19.2W, 24V/DC Phasenanschnitt",90.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V,,117,75,20,19.2,cv,,,,other,BAG Electronics,45BA66002419,117,75,20,compact,220_240v_ac
1232025200,LED Converter 25W 24V Phasenanschnitt dimmbar,40.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V,,122,48,24,25,cv,,,,other,BAG Electronics,L5202402DT,122,48,24,medium,220_240v_ac
1232050200,LED Converter 50W 24V phasenabschnitt dimmbar,78.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V,,177,57,23,50,cv,,,,other,K00043,113929,177,57,23,medium,220_240v_ac
1232060600,LED Converter 60W 24V Phasenanschnitt dimmbar,56.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V,,204,44.5,37,60,cv,,,,other,BAG Electronics,372718 / 112426,204,44.5,37,medium,220_240v_ac
1242024200,LED Converter 24W 24V 1-10V | DALI2 | PUSH,120.0,0,outofstock,simple,publish,LEU,CONVERTER ZU FRONK / FROG FLEXALIGHTING LUX-IT,,164,38,24.5,24,cv,dali|1_10v,,,other,BAG Electronics,AL5012,164,38,24.5,medium,220_240v_ac
1242030200,LED Converter SRP 30W 24V DALI | 1-10V | Phasendimmbar,36.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V SIMPEX,,170,53,28,30,cv,dali|1_10v,,,other,Simpex,SRP-2305-30-MULTIDIM-24V,170,53,28,medium,220_240v_ac
1242150200,LED Converter LUP 150W 24V DALI | 1-10V | TOUCHDIM,68.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V SIMPEX,,360,30.5,21.8,150,cv,dali|1_10v|touchdim,,,other,Simpex,LUP150-LVDA,360,30.5,21.8,large,220_240v_ac
1242200200,LED Converter SRP 200W 24V DALI | 1-10V | Phasendimmbar,153.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V,,330,79,39,200,cv,dali|1_10v,,,other,Simpex,SRP-TRIAC-200-24V,330,79,39,large,220_240v_ac
1262035200,LED Converter LC 35W 24V bDW SC PRE2 Casambi,125.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V CASAMBI TRIDONIC,,195,43,29.8,35,cv,casambi,,,lc,Tridonic,28002677,195,43,29.8,medium,220_240v_ac
1262060200,LED Converter LC 60W 24V bDW SC PRE2 Casambi,140.0,11,instock,simple,publish,LED Treiber,CONVERTER V CASAMBI TRIDONIC,,225,43,30.2,60,cv,casambi,,,lc,Tridonic,28002674,225,43,30.2,medium,220_240v_ac
1262100200,LED Converter LC 100W 24V bDW SC PRE2 Casambi,157.0,2,instock,simple,publish,LED Treiber,CONVERTER V CASAMBI TRIDONIC,,295,43,29.8,100,cv,casambi,,,lc,Tridonic,28002675,295,43,29.8,large,220_240v_ac
